Year,2000,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016
Region/Subregion or Country of Birth,Estimate,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error,Estimate,Margin of Error
Romania," 135,966 "," 156,318 "," +/-9,373 "," 168,867 "," +/-8,814 "," 167,966 "," +/-9,767 "," 178,295 "," +/-10,223 "," 151,767 "," +/-8,789 "," 164,606 "," +/-10,297 "," 165,819 "," +/-8,594 "," 157,302 "," +/-8,328 ","157,315","  +/-9,570 ","159,546","+/-7,917","161,629","+/-7,225"
Russia," 340,177 "," 383,077 "," +/-14,787 "," 403,072 "," +/-13,730 "," 413,370 "," +/-15,189 "," 403,781 "," +/-13,718 "," 383,166 "," +/-12,910 "," 399,216 "," +/-14,941 "," 399,128 "," +/-12,268 "," 390,934 "," +/-13,257 ","390,977","  +/-13,638 ","386,529","+/-13,859","397,236","+/-12,123"
Ukraine," 275,153 "," 314,355 "," +/-13,804 "," 311,011 "," +/-13,062 "," 325,780 "," +/-14,031 "," 320,110 "," +/-14,658 "," 326,493 "," +/-13,533 "," 340,468 "," +/-14,187 "," 342,971 "," +/-10,661 "," 345,187 "," +/-13,038 ","332,145","  +/-13,275 ","345,620","+/-11,934","347,759","+/-11,096"
Bosnia and Herzegovina," 98,766 "," 119,574 "," +/-10,157 "," 124,589 "," +/-11,476 "," 119,163 "," +/-11,291 "," 113,303 "," +/-9,712 "," 125,793 "," +/-10,759 "," 122,529 "," +/-9,785 "," 121,938 "," +/-7,769 "," 112,240 "," +/-7,910 ","111,317","  +/-9,114 ","107,969","+/-9,021","101,638","+/-8,276"
Serbia," 9,576 ", - ,, - ,, - ,, - ,," 30,715 "," +/-3,695 "," 30,758 "," +/-3,629 "," 35,765 "," +/-4,600 "," 36,160 "," +/-3,922 ","33,628","  +/-4,475 ","36,969","+/-4,673","37,654","+/-4,790"
Yugoslavia," 113,987 "," 119,841 "," +/-9,082 "," 103,921 "," +/-8,403 "," 108,954 "," +/-8,352 "," 98,642 "," +/-7,394 "," 97,608 "," +/-7,697 "," 90,296 "," +/-7,892 ", - ,, - ,, - ,, - ,,,
Other Eastern Europe," 261,664 "," 345,957 "," +/-14,032 "," 369,288 "," +/-14,582 "," 371,251 "," +/-15,311 "," 68,569 "," +/-6,122 "," 71,030 "," +/-5,337 "," 74,776 "," +/-5,853 "," 132,737 "," +/-7,119 "," 129,547 "," +/-7,493 ","131,724","  +/-7,422 ","130,469","+/-8,453","130,830","+/-7,258"
"Europe, n.e.c."," 4,370 "," 11,202 "," +/-2,221 "," 11,768 "," +/-2,577 "," 14,649 "," +/-2,421 "," 10,061 "," +/-2,312 "," 9,733 "," +/-1,939 "," 10,375 "," +/-2,359 "," 8,350 "," +/-1,803 "," 10,487 "," +/-1,893 ","9,666","  +/-2,077 ","11,497","+/-2,703","11,709","+/-2,204"
Asia," 8,226,254 "," 10,052,929 "," +/-44,487 "," 10,184,906 "," +/-45,826 "," 10,355,577 "," +/-41,271 "," 10,652,379 "," +/-49,771 "," 11,283,574 "," +/-46,957 "," 11,562,022 "," +/-47,363 "," 11,931,658 "," +/-53,141 "," 12,176,983 "," +/-46,332 ","12,750,422","  +/-47,011 ","13,249,179","+/-52,482","13,461,081","+/-52,769"
Eastern Asia," 2,739,510 "," 3,300,626 "," +/-39,346 "," 3,339,300 "," +/-37,029 "," 3,294,260 "," +/-35,641 "," 3,334,141 "," +/-35,727 "," 3,599,931 "," +/-41,107 "," 3,640,241 "," +/-34,446 "," 3,719,150 "," +/-38,297 "," 3,803,484 "," +/-37,255 ","3,950,698","  +/-35,494 ","4,085,872","+/-43,120","4,130,659","+/-40,972"
